[1] "Accepted theta[1]=8.04e-01, theta[2]=2.28e+00, theta[3]=1.41e+00"
[1] "Accepted theta[1]=7.48e-01, theta[2]=2.40e+00, theta[3]=1.44e+00"
[1] "Accepted theta[1]=7.11e-01, theta[2]=2.51e+00, theta[3]=1.44e+00"
[1] "Accepted theta[1]=6.92e-01, theta[2]=2.58e+00, theta[3]=1.43e+00"
[1] "Accepted theta[1]=6.67e-01, theta[2]=2.68e+00, theta[3]=1.40e+00"
[1] "Accepted theta[1]=6.70e-01, theta[2]=2.76e+00, theta[3]=1.36e+00"
[1] "Accepted theta[1]=6.84e-01, theta[2]=2.83e+00, theta[3]=1.31e+00"
[1] "Accepted theta[1]=6.66e-01, theta[2]=2.90e+00, theta[3]=1.28e+00"
[1] "Accepted theta[1]=6.74e-01, theta[2]=2.97e+00, theta[3]=1.23e+00"
[1] "Accepted theta[1]=6.82e-01, theta[2]=3.03e+00, theta[3]=1.19e+00"
[1] "Accepted theta[1]=6.75e-01, theta[2]=3.11e+00, theta[3]=1.14e+00"
[1] "Accepted theta[1]=6.80e-01, theta[2]=3.18e+00, theta[3]=1.11e+00"
[1] "Accepted theta[1]=6.90e-01, theta[2]=3.25e+00, theta[3]=1.07e+00"
[1] "Accepted theta[1]=7.12e-01, theta[2]=3.31e+00, theta[3]=1.04e+00"
[1] "Accepted theta[1]=7.26e-01, theta[2]=3.38e+00, theta[3]=9.84e-01"
[1] "Accepted theta[1]=7.27e-01, theta[2]=3.44e+00, theta[3]=9.61e-01"
[1] "Accepted theta[1]=7.27e-01, theta[2]=3.49e+00, theta[3]=9.51e-01"
[1] "Accepted theta[1]=7.42e-01, theta[2]=3.56e+00, theta[3]=9.23e-01"
[1] "Accepted theta[1]=7.41e-01, theta[2]=3.60e+00, theta[3]=9.15e-01"
[1] "Accepted theta[1]=7.07e-01, theta[2]=3.64e+00, theta[3]=9.20e-01"
[1] "Accepted theta[1]=6.87e-01, theta[2]=3.68e+00, theta[3]=9.03e-01"
[1] "Accepted theta[1]=6.71e-01, theta[2]=3.72e+00, theta[3]=9.03e-01"
[1] "Accepted theta[1]=6.61e-01, theta[2]=3.75e+00, theta[3]=8.79e-01"
[1] "Accepted theta[1]=6.46e-01, theta[2]=3.78e+00, theta[3]=8.76e-01"
[1] "Accepted theta[1]=6.39e-01, theta[2]=3.80e+00, theta[3]=8.66e-01"
[1] "Accepted theta[1]=6.51e-01, theta[2]=3.83e+00, theta[3]=8.68e-01"
[1] "Accepted theta[1]=6.58e-01, theta[2]=3.84e+00, theta[3]=8.58e-01"
[1] "Accepted theta[1]=6.42e-01, theta[2]=3.86e+00, theta[3]=8.64e-01"
[1] "Accepted theta[1]=6.05e-01, theta[2]=3.86e+00, theta[3]=8.48e-01"
[1] "Accepted theta[1]=5.92e-01, theta[2]=3.90e+00, theta[3]=8.36e-01"
[1] "Accepted theta[1]=5.75e-01, theta[2]=3.90e+00, theta[3]=8.23e-01"
[1] "Accepted theta[1]=5.64e-01, theta[2]=3.91e+00, theta[3]=8.34e-01"
[1] "Accepted theta[1]=5.54e-01, theta[2]=3.92e+00, theta[3]=8.29e-01"
[1] "Accepted theta[1]=5.51e-01, theta[2]=3.91e+00, theta[3]=8.24e-01"
[1] "Accepted theta[1]=5.45e-01, theta[2]=3.90e+00, theta[3]=8.15e-01"
[1] "Accepted theta[1]=5.41e-01, theta[2]=3.92e+00, theta[3]=8.05e-01"
[1] "Accepted theta[1]=5.25e-01, theta[2]=3.93e+00, theta[3]=7.93e-01"
[1] "Accepted theta[1]=5.11e-01, theta[2]=3.95e+00, theta[3]=7.95e-01"
[1] "Accepted theta[1]=5.04e-01, theta[2]=3.95e+00, theta[3]=7.85e-01"
[1] "Accepted theta[1]=4.86e-01, theta[2]=3.95e+00, theta[3]=7.77e-01"
[1] "Accepted theta[1]=4.79e-01, theta[2]=3.94e+00, theta[3]=7.83e-01"
[1] "Accepted theta[1]=4.65e-01, theta[2]=3.93e+00, theta[3]=7.64e-01"
[1] "Accepted theta[1]=4.57e-01, theta[2]=3.94e+00, theta[3]=7.59e-01"
[1] "Rejected theta[1]=4.62e-01, theta[2]=3.97e+00, theta[3]=7.44e-01"
[1] "Accepted theta[1]=4.49e-01, theta[2]=3.94e+00, theta[3]=7.51e-01"
[1] "Accepted theta[1]=4.57e-01, theta[2]=3.96e+00, theta[3]=7.34e-01"
[1] "Accepted theta[1]=4.52e-01, theta[2]=3.96e+00, theta[3]=7.34e-01"
[1] "Accepted theta[1]=4.39e-01, theta[2]=3.96e+00, theta[3]=7.22e-01"
[1] "Accepted theta[1]=4.31e-01, theta[2]=3.97e+00, theta[3]=7.16e-01"
[1] "Accepted theta[1]=4.07e-01, theta[2]=3.98e+00, theta[3]=7.08e-01"
[1] "Rejected theta[1]=3.79e-01, theta[2]=3.97e+00, theta[3]=7.15e-01"
[1] "Rejected theta[1]=4.09e-01, theta[2]=3.96e+00, theta[3]=6.92e-01"
[1] "Accepted theta[1]=3.94e-01, theta[2]=3.97e+00, theta[3]=7.07e-01"
[1] "Rejected theta[1]=4.02e-01, theta[2]=3.96e+00, theta[3]=6.85e-01"
[1] "Accepted theta[1]=3.81e-01, theta[2]=3.98e+00, theta[3]=6.93e-01"
[1] "Accepted theta[1]=3.82e-01, theta[2]=3.97e+00, theta[3]=6.84e-01"
