"Date", "Close", "High", "Low", "Open", "Volume"
0, 689, 689, 688.34, 688.92, 22365
1, 689.55, 689.55, 685.61, 688.88, 69409
2, 685.9599, 689.64, 684.46, 688.81, 60438
3, 686.45, 686.85, 683.1, 685.18, 50873
4, 686.1539, 686.89, 684.66, 686.35, 44510
5, 683.78, 686.15, 683.3362, 686.05, 27282
6, 682.505, 684.04, 682, 683.76, 41865
7, 685.25, 685.25, 681.15, 682.51, 64560
8, 683.52, 685.2523, 682.52, 685.2523, 27738
9, 682.98, 683.9, 681.78, 683.9, 22260
10, 682.15, 683.53, 681.53, 682.87, 25943
11, 681.09, 682.87, 680.78, 682.1401, 24789
12, 681.8899, 682.36, 680.9, 681.64, 42738
13, 683.6, 683.6, 681.57, 681.88, 20545
14, 684.975, 685, 683.27, 683.27, 32120
15, 685.38, 686.6699, 685, 685, 42975
16, 686.83, 687.65, 685.45, 685.7, 31740
17, 685, 687.6, 684.715, 687.55, 27921
18, 684.425, 685.6399, 684.1099, 685, 18900
19, 683.8, 684.5, 682.3, 684.43, 13157
20, 685.3309, 685.48, 683.32, 684.11, 18293
21, 685.04, 685.85, 684.92, 685.18, 20080
22, 689.1, 689.43, 685.0201, 685.37, 34526
23, 687.93, 689.089, 686.72, 689, 15609
24, 688.05, 689.08, 687.55, 687.83, 18483
25, 688.25, 688.74, 687.62, 688.55, 13088
26, 688.406, 689.04, 688, 688.4, 16247
27, 691, 691.58, 688.9001, 689, 26779
28, 693.96, 694.0548, 689.5, 690.44, 26062
29, 695.35, 695.8, 694.23, 694.248, 37407
30, 696.85, 697.74, 694.71, 694.87, 26650
31, 696.25, 697.96, 695, 696.9068, 22630
32, 695.53, 697.1089, 695.16, 696.36, 22679
33, 694.1001, 695.3, 693.93, 695.08, 15773
34, 698.47, 698.5, 694.41, 694.6606, 27239
35, 699.38, 699.38, 697.805, 698.54, 35521
36, 699, 699.36, 698.12, 699.0101, 20508
37, 699.49, 699.88, 698.5, 698.95, 26875
38, 698.07, 699.75, 697.73, 699.65, 37121
39, 699.56, 700, 698.02, 698.04, 113244
144, 700.01, 700.01, 700, 700.01, 28340
145, 697.47, 702.94, 695, 700.21, 100102
146, 693.98, 698, 692.46, 697.7163, 70450
147, 692.3915, 695.45, 692.01, 693.64, 49712
148, 692.97, 694.01, 690.585, 692.39, 46050
149, 696.566, 697.2, 691.85, 692.868, 32308
150, 697.7, 697.8, 694.9, 696.56, 21694
151, 696.75, 697.67, 695.9001, 697.67, 14500
152, 698.585, 699.56, 696.3, 696.6569, 26937
153, 696.51, 699.43, 696.51, 698.59, 15250
154, 696.97, 697, 694.75, 696.059, 26983
155, 696.2, 697.2999, 694.93, 696.5112, 13106
156, 698.49, 698.71, 696.58, 696.71, 10732
157, 697.93, 699, 697.18, 698.52, 15654
158, 696.795, 698.58, 695.98, 698.14, 10900
159, 698.76, 699.5363, 696.9, 697.22, 13850
160, 698.55, 699.2, 698.12, 698.36, 25458
161, 698.83, 699.98, 698.3201, 698.55, 19046
162, 699.48, 699.53, 698.08, 698.77, 11991
163, 697.6, 699.25, 697.01, 699.25, 15527
164, 698.55, 698.85, 697.54, 697.6999, 18125
165, 699.065, 699.6199, 698.3122, 698.49, 19646
166, 701.4, 702.65, 699.22, 699.41, 32210
167, 701.51, 702.2199, 700.5925, 701.89, 16179
168, 701.85, 702.59, 701.3609, 701.61, 17790
169, 703.3, 703.75, 702, 702.22, 27730
170, 703.21, 704.6, 702.97, 703.83, 26260
171, 703.26, 703.93, 701.824, 703.3, 23890
172, 702.2084, 703.49, 702.02, 703.45, 11240
173, 703.37, 703.4, 702.11, 702.2, 8698
174, 702.71, 703.6, 701.65, 703.32, 18499
175, 702.61, 702.89, 701.4, 702.82, 11692
176, 700.61, 702.61, 700.42, 702.61, 17139
177, 702.49, 702.92, 699.998, 700.79, 22611
178, 703.44, 703.9499, 701.65, 702.34, 19249
179, 702.9, 704.05, 702.46, 703.226, 18039
180, 702.44, 703.55, 702.44, 702.83, 9146
181, 703.58, 703.97, 702.095, 702.9, 17812
182, 704, 704.79, 703.43, 703.8, 54170
183, 705.75, 705.98, 703.38, 703.94, 163053
288, 709, 709, 708.52, 708.58, 25445
289, 709.5, 711.2, 707.27, 708.76, 99828
290, 710.72, 711.25, 709, 709.99, 75458
291, 712.14, 713.43, 710.3, 710.6575, 104625
292, 711.232, 712.69, 711.23, 712, 79758
293, 708.18, 711.51, 708.07, 711.22, 66821
294, 707.96, 709.28, 706, 708.45, 59827
295, 710.82, 711.43, 707.63, 707.855, 35804
296, 711.41, 711.9, 709.95, 711.0557, 35054
297, 710.32, 711.6, 709.1115, 711.6, 16763
298, 708.8, 710.7, 708.8, 710.7, 22541
299, 708.48, 708.82, 707.42, 708.52, 20091
300, 708.18, 708.89, 707.715, 708.24, 33638
301, 706.695, 708.39, 706.24, 708.18, 62345
302, 707.1, 708.13, 706.3, 706.77, 18637
303, 706.0599, 707.32, 705.52, 707.09, 19853
304, 704.24, 705.6817, 702.01, 705.6817, 72308
305, 704.695, 705.14, 703.76, 704.04, 42838
306, 704.06, 705.1, 703.75, 704.67, 22131
307, 703.78, 705.16, 703.28, 704.31, 23961
308, 703.63, 703.84, 702.885, 703.84, 28256
309, 705.2, 706.08, 703.1225, 703.625, 24168
310, 705.0101, 706.5299, 704.57, 705.24, 17348
311, 704.64, 705.73, 704.1, 705.0938, 17230
312, 704.29, 704.88, 704.1686, 704.3535, 7787
313, 704.4, 705.73, 703.76, 704.56, 19097
314, 703.2174, 704.93, 702.7963, 704.62, 21218
315, 702.55, 703.155, 701.68, 703.155, 18735
316, 702.5, 703.95, 702.3, 702.7883, 31149
317, 701.2123, 702.6599, 701.2123, 702.45, 42906
318, 703.75, 704.17, 701.01, 701.18, 15971
319, 702.045, 704.17, 701.91, 703.95, 14226
320, 703.88, 704.21, 700.86, 701.89, 33693
321, 702.64, 703.9, 701.91, 703.6, 12697
322, 704.22, 704.68, 702.675, 703.02, 26878
323, 705.02, 705.02, 703.6001, 704.4, 28329
324, 703.71, 705.0599, 703.15, 705, 20834
325, 704.68, 705.5268, 703.74, 703.74, 25649
326, 705.575, 705.9, 704.6, 704.99, 60292
327, 705.07, 705.84, 704.16, 705.6875, 181006
720, 700.65, 700.65, 700.3, 700.32, 35095
721, 704.5, 705.4941, 700, 700.55, 69040
722, 705.89, 706.035, 703.65, 704.07, 65949
723, 707.32, 708.59, 706.0559, 706.0559, 34573
724, 705.8, 707.2, 704.68, 707.18, 25690
725, 707.18, 708.07, 705.7601, 706.49, 40098
726, 708.6, 709, 707.238, 707.238, 29470
727, 707.2864, 709.24, 707.1, 708.67, 19787
728, 707.018, 707.685, 706.29, 707.26, 20265
729, 705.1645, 707.08, 705.1645, 706.51, 16905
730, 704.58, 706.45, 704.11, 705.62, 42715
731, 705.79, 705.93, 703.4606, 704.61, 23199
732, 705.3456, 706.9, 704.95, 705.47, 26793
733, 707.9338, 708.05, 705.16, 705.17, 16604
734, 708, 708.75, 707.0841, 707.95, 15680
735, 708.835, 708.99, 707.8546, 708.01, 17805
736, 707.9498, 708.59, 707.35, 708.57, 19186
737, 708.0287, 708.84, 707.0911, 708.17, 15346
738, 707.99, 708.485, 707.29, 708.3, 18772
739, 709.01, 709.6971, 707.7, 708, 39294
740, 709.94, 709.98, 709.003, 709.36, 23207
741, 710.64, 710.64, 709.2, 709.585, 26646
742, 710.26, 710.89, 709.5, 710.64, 19555
743, 708.58, 710.57, 708.53, 710.5022, 17675
744, 707.44, 709.22, 707.44, 708.6299, 12712
745, 706.74, 707.32, 706.55, 707, 18317
746, 707.322, 707.55, 705.98, 706.68, 16234
747, 706.6231, 707.8625, 706.2608, 707.646, 20414
748, 705.52, 707.31, 705.5, 706.7, 29071
749, 704.75, 705.71, 704.4, 705.3693, 22297
750, 703.44, 704.978, 703.19, 704.8, 24697
751, 702.94, 704.16, 702.6, 703.65, 19739
752, 702.35, 702.595, 701.22, 702.53, 24305
753, 701.355, 703.86, 701.32, 702.39, 34604
754, 699.7389, 701.655, 699.18, 701.36, 47107
755, 698.95, 699.98, 698.32, 699.71, 31474
756, 700, 700.61, 698.54, 698.6, 36579
757, 701.6, 701.79, 699.706, 700.13, 37674
758, 700.425, 702.57, 700.06, 701.64, 44365
759, 697.77, 700.21, 697.68, 700.21, 356920
864, 702.47, 703.62, 702.47, 703.62, 15968
865, 700.45, 705, 699.77, 702.61, 111122
866, 702.375, 704.89, 699.775, 700.32, 65963
867, 704.974, 705.6, 702.06, 702.22, 39594
868, 707.514, 708, 704.72, 704.72, 47768
869, 707.76, 708.9, 705.94, 707.72, 37429
870, 710.79, 711.95, 707.64, 708.28, 68176
871, 712, 712.95, 710.69, 711.165, 42544
872, 712.81, 713.0959, 711.57, 712.22, 40255
873, 711.51, 713.33, 711.11, 712.78, 41630
874, 712.36, 712.55, 711.055, 711.055, 19196
875, 712.02, 712.72, 711.5, 712.13, 27237
876, 712.185, 713.01, 711.72, 711.95, 17013
877, 714.5933, 714.71, 712.0001, 712.17, 24141
878, 714.98, 715.0961, 714.3, 714.6491, 34243
879, 716, 716, 714.475, 715.02, 30102
880, 717.02, 717.6384, 715.59, 715.99, 30889
881, 716.21, 717.3, 716.04, 716.7, 32309
882, 716.52, 716.526, 715.5466, 716.01, 16771
883, 714.3556, 716.47, 714.3556, 716.32, 16653
884, 714.7599, 715.86, 714.04, 714.5, 17416
885, 714.62, 714.9583, 714.01, 714.76, 8072
886, 713.98, 714.66, 713.425, 714.37, 13005
887, 713.37, 714.41, 713.1, 713.94, 12393
888, 713.75, 714.04, 713, 713.34, 14450
889, 714.42, 714.43, 713.5, 713.56, 9844
890, 714.99, 715.435, 714.14, 714.405, 23722
891, 715, 715.05, 714.05, 715, 42149
892, 716.0099, 716.3499, 714.58, 714.97, 33352
893, 716.21, 716.63, 715.44, 715.81, 34126
894, 715.49, 716.18, 714.88, 715.97, 20571
895, 715.725, 716.29, 715.34, 715.64, 11240
896, 716.44, 717.23, 715.86, 716.12, 26801
897, 717.96, 718, 716.25, 716.58, 30753
898, 718.21, 718.77, 717.4801, 718.008, 25109
899, 717.55, 718.7, 717.52, 718.3, 35634
900, 717.3665, 717.85, 716.27, 717.58, 34261
901, 716.32, 717.48, 716.265, 717.1, 36898
902, 717.33, 717.49, 715.765, 716.25, 44063
903, 718.81, 718.81, 717, 717.19, 110571
0, 719.45, 719.45, 719, 719, 18229
1, 717.307, 720, 714.96, 719.05, 84363
2, 714.905, 718.4799, 714.67, 717.3715, 46075
3, 715.14, 715.41, 712, 715.06, 59310
4, 717.04, 718, 714.94, 715.2, 28614
5, 718.955, 718.96, 715.937, 717.18, 49139
6, 717.06, 718.96, 717.001, 718.96, 16190
7, 716.12, 717.8499, 715.7, 717.05, 22981
8, 715.71, 716.8416, 715, 716.17, 15272
9, 716.31, 717, 715, 716.21, 17731
10, 718.3875, 719, 715.6, 715.98, 23077
11, 716.05, 719.225, 715.7301, 718.7, 13433
12, 715.865, 716.23, 714.5395, 716.16, 95303
13, 716.39, 716.926, 715, 715.96, 15272
14, 716.178, 716.681, 715.22, 715.98, 7001
15, 713.39, 716.639, 713.39, 716.2, 12870
16, 715.35, 715.65, 713.07, 713.35, 14620
17, 715.78, 716.05, 715.23, 715.4, 15166
18, 715.66, 716.4, 715.38, 715.68, 19707
19, 715.9, 716.7, 715.38, 715.88, 11193
20, 716.43, 716.9288, 716.04, 716.09, 7445
21, 717.47, 717.79, 716.06, 716.51, 10210
22, 717.7, 717.79, 716.955, 717.59, 9245
23, 717.2, 717.695, 716.76, 717.695, 13083
24, 717.2232, 717.3124, 715.51, 717.13, 14633
25, 716.1024, 717.1399, 715.5, 716.95, 16183
26, 716, 716.39, 715.74, 716.22, 10041
27, 714.22, 716.44, 714.1, 715.97, 23114
28, 713.5669, 715.17, 713.3, 714.475, 33429
29, 713.01, 713.91, 712.8, 713.7, 29063
30, 713.29, 714.48, 713.012, 713.012, 25061
31, 714.49, 715.09, 713.36, 713.79, 23137
32, 715.7872, 716, 714.86, 714.86, 22548
33, 715.65, 716.75, 715.24, 715.72, 20356
34, 715.5, 715.77, 714.54, 715.76, 12044
35, 717.1, 718.0799, 715.5, 715.5, 33040
36, 717.19, 718.92, 716.7, 717.4, 32554
37, 717.15, 718.49, 716.41, 716.99, 18018
38, 718, 718.61, 717.08, 717.15, 32907
39, 718.85, 719, 717.31, 718, 102230
144, 718.025, 718.68, 717.54, 718.68, 11594
145, 717.67, 719.45, 715.29, 718.19, 44506
146, 714.36, 718.47, 713.7, 717.51, 78574
147, 713.71, 714.7799, 713, 714.29, 58385
148, 713.29, 714.16, 712, 713.9999, 49728
149, 712.99, 713.56, 711.11, 713.29, 79151
150, 712.15, 713.13, 711.12, 713.13, 41273
151, 712.682, 713.348, 711.66, 712.42, 26225
152, 713.125, 713.95, 712.265, 712.59, 26837
153, 711.87, 713.5, 711.8, 713.3, 39820
154, 711.66, 712.35, 710.54, 711.9, 55146
155, 711.875, 712.04, 710.71, 711.7542, 20401
156, 711.66, 714, 706.02, 711.82, 117711
157, 712.69, 712.69, 711.11, 711.745, 14130
158, 712.66, 712.68, 711.355, 712.36, 15117
159, 712.34, 712.99, 711.86, 712.59, 16914
160, 712.4275, 712.85, 711.6, 712.42, 10785
161, 711.2, 712.38, 710.9, 712.38, 9444
